,index,iteration,params,duration_in_second,num_labels,num_labels_std,silhouette_score,davies_bouldin_score,dunn_fast,silhouette_score_std,davies_bouldin_score_std,dunn_fast_std,min_samples,min_cluster_size,cluster_selection_epsilon,cluster_selection_method,metric
0,70,70,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",10.000734972953797,10.3,1.1,0.48429236,0.5938132791030281,0.32206236903303587,0.009613538,0.18548032833333764,0.13345092771946176,5,5,1.0,leaf,mahalanobis
1,28,28,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",9.696686792373658,10.0,1.0,0.48272714,0.6797936216457053,0.28570855624482117,0.0070424513,0.29424628736460756,0.10599343712737949,5,2,0.8,leaf,mahalanobis
2,61,61,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",9.995468306541444,10.3,0.7810249675906655,0.4824923,0.550162683662228,0.299309703651031,0.00649827,0.17543992518012091,0.09871216769580317,5,5,0.8,eom,mahalanobis
3,67,67,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",10.250746464729309,10.3,1.345362404707371,0.48226863,0.5197044967133158,0.35165819341221666,0.006318934,0.24213129158187272,0.1539042347665046,5,5,1.0,eom,mahalanobis
4,25,25,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",9.488544344902039,9.6,0.66332495807108,0.48223633,0.681908424930773,0.2585046208203312,0.007552799,0.3188922076880552,0.03448923768682304,5,2,0.8,eom,mahalanobis
5,64,64,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.8, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",10.018322038650513,10.3,0.45825756949558394,0.4818437,0.5405975760480425,0.3120658938701346,0.0077950163,0.28264638184232777,0.10356838330559316,5,5,0.8,leaf,mahalanobis
6,13,13,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.4, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",10.118114256858826,10.2,0.7483314773547883,0.48165998,0.5115611286301733,0.3014901355893792,0.006791378,0.2378160581099147,0.09687796223724632,5,2,0.4,eom,mahalanobis
7,19,19,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",9.787015128135682,10.0,0.6324555320336759,0.48097473,0.4228055661267122,0.30872185890351156,0.0060000694,0.16964680280073646,0.0918958447472029,5,2,0.6,eom,mahalanobis
8,55,55,"{'min_samples': 5, 'min_cluster_size': 5, 'cluster_selection_epsilon': 0.6, 'cluster_selection_method': 'eom', 'metric': 'mahalanobis'}",9.746660804748535,10.4,1.0198039027185568,0.4803412,0.531050664623009,0.36225801747996267,0.0051163714,0.267539490124222,0.14731040768305706,5,5,0.6,eom,mahalanobis
9,34,34,"{'min_samples': 5, 'min_cluster_size': 2, 'cluster_selection_epsilon': 1.0, 'cluster_selection_method': 'leaf', 'metric': 'mahalanobis'}",10.066540241241455,10.2,0.8717797887081347,0.47997135,0.5410076501022931,0.38628167597396695,0.005086053,0.3312671458975194,0.1590209296034108,5,2,1.0,leaf,mahalanobis
